25	212625281	212626674
29	200244450	200253041
22	84007222	84008354
21	70894407	70897146
15	211712467	211718771
7	202204481	202212021
19	214144387	214146778
26	215294739	215296297
3	5027130	5068705
29	47548818	47549941
3	35656892	35666141
12	228779487	228782225
10	225416271	225420813
26	199784793	199835239
20	199093796	199262355
5	181417109	181418317
32	177989461	177990945
28	227438736	227440247
30	228812517	228816269
15	163915533	163917071
29	159428462	159438144
10	152855287	152857235
31	151677134	151685619
16	230576628	230580289
5	110756363	110759664
25	234117830	234120795
27	234349280	234357655
11	244353545	244355012
4	243382842	243394708
26	202667406	202670282
7	199488425	199489541
32	61732093	61735957
20	15402847	15423112
10	35482364	35514250
13	25392210	25398468
18	167843192	167847882
14	20473599	20477546
32	17760550	17775885
23	12431530	12456055
16	176730214	176738117
17	178211524	178338610
6	179871788	179878664
17	242705151	242728100
20	208325276	208370942
31	186838019	186914210
14	202589558	202621867
24	189616237	189638488
4	188102143	188145217
22	72249809	72255233
4	71376291	71406307
32	188264680	188318734
23	190472655	190481687
11	190837330	190838734
23	191147324	191154968
31	109490837	109556481
33	45568702	45680850
6	189726451	189888415
28	119030780	119183750
9	197808393	197812030
9	199345711	199348566
28	237533073	237537732
3	232572811	232576481
11	219281512	219282616
11	218985638	218989402
10	161574673	161581055
24	68349987	68354587
19	71077666	71079337
9	152777660	152779607
9	76942605	76962938
3	150480555	150490330
23	150056233	150063393
32	112793533	112796480
13	85012152	85013886
9	86476779	86479953
6	87493441	87507691
2	88055598	88075192
20	8931993	8934309
7	103519977	103523370
14	103418204	103427873
16	94176826	94277133
21	91208825	91215100
20	87847397	87854193
16	96069014	96078021
9	82665083	82672074
22	103211383	103321085
7	27644596	27817946
27	54350989	54363910
16	70248382	70339569
28	66851605	66853397
15	66601844	66603938
24	64960097	64965173
33	65943589	65944594
8	62539115	62542475
34	167874342	167880013
19	4647597	4650890
5	27534822	27604238
33	28980482	29012343
31	30258715	30260927
10	210913883	210921385
2	38622926	38624937
18	39343798	39351119
20	209516178	209520373
6	204766250	204775640
16	200200378	200203268
32	200182977	200188892
14	198924789	198934596
23	189590608	189597774
17	47835937	47837606
21	171075068	171076391
9	47947454	47950514
15	49701076	49721593
19	181054074	181063378
19	53401403	53403119
34	54140841	54142318
17	54385957	54387727
33	54832635	54842574
16	55296572	55298884
32	176821807	176827109
14	56500834	56504268
7	58494898	58505638
32	174503382	174506423
11	165025361	165033674
4	164170586	164180398
16	58568421	58575196
3	244464557	244465606
7	95563395	95593001
11	151981612	151983167
17	50272848	50321811
19	41236609	41250124
11	29708903	29740480
7	28580390	28611219
8	196887052	196896230
3	24667583	24687729
26	203284665	203286029
31	247149254	247173069
